trial_id,context,coh1,coh2,relevant_coh,irrelevant_coh,label,difficulty,final_q_coupled,final_q_decoupled
226,0,0.3,0.3,0.3,0.3,1.0,0.3,0.5312087,-0.030114219
227,0,0.7,0.5,0.7,0.5,1.0,0.7,1.7550337,-0.030114219
228,0,0.3,0.15,0.3,0.15,1.0,0.3,0.7512108,-0.030114219
229,1,-0.5,0.7,0.7,-0.5,1.0,0.7,1.0443585,-0.018505055
230,0,0.5,-0.7,0.5,-0.7,1.0,0.5,1.0496846,-0.030114219
231,1,0.5,0.3,0.3,0.5,1.0,0.3,0.7807644,-0.018505055
232,0,-0.7,0.3,-0.7,0.3,-1.0,0.7,-1.269917,-0.030114219
233,0,-0.5,0.5,-0.5,0.5,-1.0,0.5,-0.9510401,-0.030114219
234,1,0.7,-0.5,-0.5,0.7,-1.0,0.5,-0.64752114,-0.018505055
235,0,-0.7,0.7,-0.7,0.7,-1.0,0.7,-1.0585914,-0.030114219
236,1,0.3,-0.7,-0.7,0.3,-1.0,0.7,-1.1862161,-0.018505055
237,0,0.15,0.7,0.15,0.7,1.0,0.15,0.1164793,-0.030114219
238,1,-0.3,-0.3,-0.3,-0.3,-1.0,0.3,-0.52445686,-0.018505055
239,1,-0.7,-0.5,-0.5,-0.7,-1.0,0.5,-0.6894253,-0.018505055
240,0,0.5,-0.7,0.5,-0.7,1.0,0.5,0.8838824,-0.030114219
241,0,-0.5,0.7,-0.5,0.7,-1.0,0.5,-0.94023895,-0.030114219
242,1,-0.3,0.7,0.7,-0.3,1.0,0.7,1.2441089,-0.018505055
243,0,-0.15,0.3,-0.15,0.3,-1.0,0.15,-0.36176422,-0.030114219
244,1,-0.7,-0.15,-0.15,-0.7,-1.0,0.15,-0.27901092,-0.018505055
245,0,-0.15,0.15,-0.15,0.15,-1.0,0.15,-0.54186845,-0.030114219
246,0,-0.15,-0.3,-0.15,-0.3,-1.0,0.15,-0.1378537,-0.030114219
247,1,-0.5,0.15,0.15,-0.5,1.0,0.15,0.50869143,-0.018505055
248,1,0.7,-0.3,-0.3,0.7,-1.0,0.3,-0.3498344,-0.018505055
249,1,-0.3,-0.5,-0.5,-0.3,-1.0,0.5,-1.1115241,-0.018505055
250,1,-0.15,0.7,0.7,-0.15,1.0,0.7,1.322974,-0.018505055
251,0,0.3,0.7,0.3,0.7,1.0,0.3,0.6626746,-0.030114219
252,1,-0.7,0.5,0.5,-0.7,1.0,0.5,0.7335774,-0.018505055
253,0,-0.5,0.3,-0.5,0.3,-1.0,0.5,-1.0823568,-0.030114219
254,0,-0.3,-0.7,-0.3,-0.7,-1.0,0.3,-0.55465543,-0.030114219
255,0,0.15,0.7,0.15,0.7,1.0,0.15,0.22642462,-0.030114219
